Time(s),R1C1,R1C2,R1C3,R1C4,R2C1,R2C2,R2C3,R2C4,R3C1,R3C2,R3C3,R3C4
0,17.3,16.4,18.1,18.2,14.4,14.6,15.8,18.8,17,15.9,15.6,16.5
100,17.1,16.1,17.9,18.1,14.3,14.5,15.7,18.5,16.9,15.8,15.5,16.4
200,16.9,16.2,17.4,17.8,14.2,14.4,15.4,18.1,16.7,15.6,15.2,16
300,16.6,15.8,17.3,17.4,14.1,14.2,15.2,17.8,16.3,15.3,15,15.7
400,16.3,15.6,17.1,17.1,13.9,14,14.9,17.1,16.1,15.1,14.8,15.6
500,16,15.3,16.6,16.8,13.7,13.8,14.7,17,15.8,15,14.6,15.3
600,15.6,14.8,16.4,16.4,13.6,13.6,14.5,16.5,15.5,14.6,14.4,14.9
700,15.4,14.9,16,16.1,13.4,13.5,14.2,16.1,15.2,14.4,14.1,14.7
800,15.1,14.6,15.8,16,13.3,13.3,14,15.6,14.9,14.1,13.9,14.4
900,14.9,14.3,15.7,15.8,13.1,13.1,13.8,15.3,14.7,13.9,13.7,14.2
1000,14.7,14.1,15.4,15.5,13,13,13.7,15,14.6,13.8,13.6,13.9
1100,14.4,13.9,15.1,15.2,12.8,12.8,13.5,14.7,14.4,13.7,13.4,13.9
1200,14.2,13.9,14.8,14.8,12.7,12.6,13.3,14.4,14.1,13.4,13.3,13.6
1300,14,13.6,14.8,14.7,12.5,12.5,13.1,14.2,13.9,13.2,13,13.4
1400,13.8,13.3,14.3,14.2,12.4,12.4,12.9,13.9,13.7,13,12.9,13.3
1500,13.6,13.2,14.1,13.9,12.4,12.3,12.8,13.7,13.6,13,12.8,13.1
1600,13.5,13.2,14,13.9,12.3,12.2,12.8,13.6,13.6,12.9,12.7,13.1
1700,13.2,12.9,14,13.8,12.2,12.2,12.7,13.4,13.4,12.8,12.7,13.1
1800,13.2,12.8,13.8,13.7,12.2,12.1,12.6,13.3,13.2,12.5,12.6,12.8
1900,13.2,12.9,13.6,13.6,12.1,12,12.4,13.1,13.1,12.5,12.5,12.9
2000,13,12.7,13.5,13.5,12,11.9,12.4,13,13,12.4,12.3,12.6
